condition_name,category,investigation
Antiphospholipid Syndrome,Haematological,"Serology: Anti-B2 glycoprotein antibodies IgG, IgM, IgA"
Antiphospholipid Syndrome,Haematological,"Anti-cardiolipin antibodies(aCL) IgG, IgM, IgA"
Antiphospholipid Syndrome,Haematological,Lupus anticoagulant(LAC)
Antiphospholipid Syndrome,Haematological,Antinuclear antibody(ANA)
Antiphospholipid Syndrome,Haematological,"Antibodies to phospholipids( many are not yet in clinical use) eg phosphatidylserine, phosphatidic acid, phosphatidylinositol"
Antiphospholipid Syndrome,Haematological,"ECHO, Doppler US scan"
Antiphospholipid Syndrome,Haematological,CT angiogram
Antiphospholipid Syndrome,Haematological,Brain CT scan
Anxiety Disorder,Neurological/Mental,To exclude medical/physical cause(s)
Anxiety Disorder,Neurological/Mental,Use psychological questionnaires to confirm diagnosis
Atopic Dermatitis (Atopic Eczema),Dermatological,RAST or skin tests may suggest dust mite allergy
Atopic Dermatitis (Atopic Eczema),Dermatological,Eosinophilia and increased serum IgE levels may be present but are nonspecific
Atopic Dermatitis (Atopic Eczema),Dermatological,Blinded food challenges: for diagnosing food allergy
Bacillary Dysentery,Infectious/Tropical,"Stool microscopy, culture and sensitivity"
Bacillary Dysentery,Infectious/Tropical,Full Blood Count
Back Pain,Musculoskeletal,"None, if the pain is mechanical"
Back Pain,Musculoskeletal,Laboratory investigations to exclude other causes
Back Pain,Musculoskeletal,"Imaging: Plain X-rays, CT Scan, MRI, Bone Densitometry, Radioisotope studies"
Bacterial Vaginosis,Maternal/Reproductive,Homogeneous milky discharge with pH > 4.5 (pH > 6.0 highly suggestive)
Bacterial Vaginosis,Maternal/Reproductive,"Wet mount of the discharge – clue cells (normal vaginal epithelial cells studded with bacteria, giving the cells a granular appearance)"
Bacterial Vaginosis,Maternal/Reproductive,Whiff test - addition of several drops of 10% KOH to a sample of vaginal discharge (Fishy odour is indicative of a positive test)
Benign Prostatic Hyperplasia,Renal/Urological,FBC and ESR
Benign Prostatic Hyperplasia,Renal/Urological,"Urinalysis, urine microscopy, culture and sensitivity"
Benign Prostatic Hyperplasia,Renal/Urological,"Serum electrolytes, urea, and creatinine"
Benign Prostatic Hyperplasia,Renal/Urological,Prostate Specific Antigen (PSA)
Benign Prostatic Hyperplasia,Renal/Urological,Transrectal ultrasound (TRUS)
Benign Prostatic Hyperplasia,Renal/Urological,Abdominal ultrasound
Benign Prostatic Hyperplasia,Renal/Urological,"X-rays – Chest, Abdomen (KUB)"
Benign Prostatic Hyperplasia,Renal/Urological,Uroflowmetry
Benign Prostatic Hyperplasia,Renal/Urological,Uterocystoscopy
Bipolar Disorders,Neurological/Mental,To rule out organic/medical causes
Bipolar Disorders,Neurological/Mental,"FBC and Electrolyte, Urea and Creatinine"
Blood Transfusion,Haematological,"Tests of Compatibility: A minimum of three major procedures must be carried out: Determine the recipient's ABO and Rhesus groups, Select compatible donor blood, Cross-match donor cells against recipient's serum, Donor blood should be screened for infective agents: HIV, hepatitis B, and C viruses"
Breast Cancer,Oncology,FNAC/core needle biopsy/incisional or excision biopsy: For histopathological and immunohistochemical analyses
Breast Cancer,Oncology,"Chest x-ray, abdominal USS, bone scan, with or withoutCT chest/abdomen: For Staging"
Breast Cancer,Oncology,"Others: FBC, LFT, Electrolyte, Urea and Creatinine"
Bronchial Asthma,Respiratory,Airway reversibility to inhaled β - adrenergic agonist
Bronchial Asthma,Respiratory,Isocapnoeic response to hyperventilation of cold air
Bronchial Asthma,Respiratory,Sputum eosinophilia
Bronchial Asthma,Respiratory,Chest radiograph: hyperinflation
Bronchiectasis,Respiratory,Chest radiograph: cystic spaces with air-fluid levels
Bronchiectasis,Respiratory,"Bronchography: saccular, cylindrical or varicose bronchial dilatations"
Bronchiectasis,Respiratory,CT scan (of the chest)
Bronchiectasis,Respiratory,Bronchoscopy: biopsies of endobronchial lesion
Bronchiectasis,Respiratory,"Sputum microscopy, culture, Ziehl Nielson microscopy"
Bronchiectasis,Respiratory,Ventilatory function test: obstructive pattern
Cancer of the Cervix,Oncology,FBC
Cancer of the Cervix,Oncology,Urinalysis
Cancer of the Cervix,Oncology,Blood Group
Cancer of the Cervix,Oncology,Electrolytes and Urea
Cancer of the Cervix,Oncology,Liver function tests
Cancer of the Cervix,Oncology,"Midstream urine specimen for microscopy, culture and sensitivity"
Cancer of the Cervix,Oncology,Chest radiograph
Cancer of the Cervix,Oncology,HIV screening
Cancer of the Cervix,Oncology,Intravenous urography
Cancer Therapy,Oncology,"Tissue diagnosis is the hallmark of diagnosis, and it must be confirmed prior to initiation of treatment"
Cancer Therapy,Oncology,Cytology: From body fluid or discharge or cell scrapings/shavings; fine needle aspiration biopsy/cytology (FNAB/C) of solid tumours
Cancer Therapy,Oncology,"Histopathology: Core tissue obtained from specialized needles (e.g. Tru cut needle for solid tumours, Vim Silverman needle, Menghini needle), incisional/wedge biopsy, excision biopsy"
Cancer Therapy,Oncology,Immunohistochemistry: Specialized studies to further characterize cancers e.g. breast cancer
Cancer Therapy,Oncology,FBC
Cancer Therapy,Oncology,Electrolyte
Cancer Therapy,Oncology,Urea and Creatinine
Cancer Therapy,Oncology,LFT
Cancer Therapy,Oncology,Plain x-ray
Cancer Therapy,Oncology,USS
Cancer Therapy,Oncology,Endoscopy
Cancer Therapy,Oncology,Radionuclide bone scan
Cancer Therapy,Oncology,CT scan
Cancer Therapy,Oncology,MRI
Cancer Therapy,Oncology,"Tumour markers like CEA, CA 19-9"
Carcinoma of the Prostate,Oncology,FBC and ESR
Carcinoma of the Prostate,Oncology,"Serum, electrolytes, urea and creatinine"
Carcinoma of the Prostate,Oncology,Transrectal ultrasound
Carcinoma of the Prostate,Oncology,Abdominal ultrasound
Carcinoma of the Prostate,Oncology,Prostate biopsy
Carcinoma of the Prostate,Oncology,"X-ray- Lumbosacral spine, chest"
Carcinoma of the Prostate,Oncology,MRI/CT scan
Carcinoma of the Prostate,Oncology,Radionuclide bone scan
Cardiac Arrhythmias,Cardiovascular,"Electrocardiograph (resting, 24-hour Holter, 1 month Holter monitoring)"
Cardiac Arrhythmias,Cardiovascular,"Atrial fibrillation is characterized by absence of p waves, presence of fibrillary waves and varying RR interval"
Cardiac Arrhythmias,Cardiovascular,Electrolytes including K and Mg; Urea and Creatinine
Cardiac Arrhythmias,Cardiovascular,Echocardiography
Cardiac Arrhythmias,Cardiovascular,Electrophysiology
Cardiac Disease in Pregnancy,Maternal/Reproductive,Echocardiography (Doppler)
Cardiac Disease in Pregnancy,Maternal/Reproductive,Electrocardiography
Cardiac Disease in Pregnancy,Maternal/Reproductive,Plethymography
Cardiac Disease in Pregnancy,Maternal/Reproductive,CT scan
Cardiac Disease in Pregnancy,Maternal/Reproductive,Cardiac catherization
Cardiac Disease in Pregnancy,Maternal/Reproductive,Pulmonary artery catherization
Cardiac Disease in Pregnancy,Maternal/Reproductive,Serial blood cultures (if infective endocarditis is suspected)
Cardiac Disease in Pregnancy,Maternal/Reproductive,FBC
Cardiac Disease in Pregnancy,Maternal/Reproductive,"Serum Electrolyte, Urea and Creatinine"
Cardiac Disease in Pregnancy,Maternal/Reproductive,Urinalysis
Cardiac Disease in Pregnancy,Maternal/Reproductive,Blood Glucose
Cardiac Disease in Pregnancy,Maternal/Reproductive,Bedside crude clotting time
Cardiomyopathies,Cardiovascular,Echocardiography
Cardiomyopathies,Cardiovascular,Electrocardiography (ECG)
Cardiomyopathies,Cardiovascular,Chest radiography
Cardiomyopathies,Cardiovascular,B-type Natriuretic peptide
Cataract,Ophthalmology,Projection of light
Cataract,Ophthalmology,Pupillary light reflex
Cataract,Ophthalmology,Macular function test
Cataract,Ophthalmology,Ocular ultrasounds scan: especially in cases of trauma to exclude pathology of the posterior segment of the eye
Cellulitis,Dermatological,M/C/S (blood and swab)
Cellulitis,Dermatological,Blood culture
Cellulitis,Dermatological,Full Blood Count with differentials
Cellulitis,Dermatological,Fasting blood glucose
Cellulitis,Dermatological,HIV screening
Cellulitis,Dermatological,"Wound swab for microscopy, culture and sensitivity"
Cellulitis,Dermatological,Urinalysis
Cervical Cancer,Oncology,Visual inspection of the cervix
Cervical Cancer,Oncology,Pap smear
Cervical Cancer,Oncology,HPV DNA test
"Chancroid (Ulcus Molle, Soft Chancre)",Infectious/Tropical,"Microscopy, culture and sensitivity of discharge from ulcer"
"Chancroid (Ulcus Molle, Soft Chancre)",Infectious/Tropical,Serological tests e.g. complement fixation (CF); microimmuno-fluorescence (MIF) test; PCR
Chest Pain,Cardiovascular,Chest radiography
Chest Pain,Cardiovascular,Electrocardiography
Chest Pain,Cardiovascular,Echocardiography
Chlamydial Infection (Other Than Lymphogranuloma Venereum),Infectious/Tropical,"Microscopy, culture and sensitivity (of discharge)"
Chlamydial Infection (Other Than Lymphogranuloma Venereum),Infectious/Tropical,Direct immunofluorescence assay
Chlamydial Infection (Other Than Lymphogranuloma Venereum),Infectious/Tropical,Enzyme-linked immunoassay
Chlamydial Infection (Other Than Lymphogranuloma Venereum),Infectious/Tropical,DNA probe test
Chlamydial Infection (Other Than Lymphogranuloma Venereum),Infectious/Tropical,Ligase chain reaction (LCR)
Cholera,Infectious/Tropical,"Stool microscopy, culture and sensitivity"
Cholera,Infectious/Tropical,"Urea, Electrolytes and Creatinine"
Cholera,Infectious/Tropical,Complete Blood Count
Cholestasis of Pregnancy,Maternal/Reproductive,Liver function tests: Mildly deranged
Cholestasis of Pregnancy,Maternal/Reproductive,Serum bilirubin and bile salts may be elevated
Chronic Kidney Disease (CKD),Renal/Urological,Urine Examination (Volume / microscopy /Urinalysis / Electrolytes)
Chronic Kidney Disease (CKD),Renal/Urological,"Serum chemistry (e.g. creatinine, urea, K)"
Chronic Kidney Disease (CKD),Renal/Urological,"Haematology including serology: Full blood count, clotting profile, serological tests for HBV, HCV and HIV"
Chronic Kidney Disease (CKD),Renal/Urological,"Imaging (e.g. USS, IVU, RUCG)"
Chronic Kidney Disease (CKD),Renal/Urological,Renal biopsy
Chronic Lymphocytic Leukaemia,Oncology,Cell morphology:
Chronic Lymphocytic Leukaemia,Oncology,Size
Chronic Lymphocytic Leukaemia,Oncology,Nuclear: cytoplasmic (N: C) ratio
Chronic Lymphocytic Leukaemia,Oncology,Regularity or irregularity of the nuclear outline
Chronic Lymphocytic Leukaemia,Oncology,Characteristics of the cytoplasm (presence and length or absence of azurophil granules)
Chronic Lymphocytic Leukaemia,Oncology,Degree of nuclear chromatin condensation and its pattern
Chronic Lymphocytic Leukaemia,Oncology,"Prominence, frequency and localization of the nucleolus"
Chronic Lymphocytic Leukaemia,Oncology,As for anaemia and other leukaemias
Chronic Myeloid Leukaemia (CML),Oncology,Determination of Philadelphia chromosome
Chronic Myeloid Leukaemia (CML),Oncology,Lactic dehydrogenase
Chronic Myeloid Leukaemia (CML),Oncology,Serum calcium
Chronic Otitis Media,"ENT (Ear, Nose & Throat)",Ear swab for MCS
Chronic Otitis Media,"ENT (Ear, Nose & Throat)",Audiogram: conductive deafness
Chronic Otitis Media,"ENT (Ear, Nose & Throat)","X-ray of the mastoids: shows sclerosis, Hypopneumatization"
Chronic Otitis Media,"ENT (Ear, Nose & Throat)","CT Scan of Petromastoid: Axial, coronal views"
Chronic Otitis Media,"ENT (Ear, Nose & Throat)",MRI of the petromastoid
Chronic Stable Angina (Angina Pectoris),Cardiovascular,"Resting ECG: Normal in 50% of patients, ST depression, May show Q wave of previous MI"
Chronic Stable Angina (Angina Pectoris),Cardiovascular,"Exercise stress ECG: Positive test evidenced by ST depression ≥ 1 mm at the J point (planar or down sloping), Arrhythmias, Fall in BP, Sensitivity (68%), Specificity (77%)"
Chronic Stable Angina (Angina Pectoris),Cardiovascular,"Echocardiography: May show segmental hypokinesia or dyskinesia, severe infarcts show global hypokinesia"
Chronic Stable Angina (Angina Pectoris),Cardiovascular,"Laboratory evaluation: FBG, Lipid profile, Electrolyte, Urea and Creatinine, Cardiac enzymes – Point of care or laboratory based (CK-MB, troponin, N-terminal B natriuretic peptide)"
Chronic Stable Angina (Angina Pectoris),Cardiovascular,"Coronary angiography: Gold standard, invasive, expensive and done only when coronary artery bypass graft (CABG) or angioplasty is planned"
Gonorrhea in Females,Infectious/Tropical,"Endocervical swab (through a vaginal speculum) for microscopy, culture and sensitivity"
Asphyxiated Babies,Paediatric,Oxygen saturation via pulse oximetry
Asphyxiated Babies,Paediatric,Random blood glucose
Asphyxiated Babies,Paediatric,"Serum electrolytes, urea and creatinine, serum calcium"
Asphyxiated Babies,Paediatric,Serum troponin
Asphyxiated Babies,Paediatric,"Serum aspartate aminotransferase, serum alanine aminotransferase"
Colorectal Cancer,Oncology,Colonoscopy and biopsy
Colorectal Cancer,Oncology,barium enema
Colorectal Cancer,Oncology,Abdominopelvic USS
Colorectal Cancer,Oncology,Abdominopelvic CT scan
Colorectal Cancer,Oncology,Chest X-ray/CT
Colorectal Cancer,Oncology,IVU
Colorectal Cancer,Oncology,Cystoscopy
Colorectal Cancer,Oncology,Haematological tests
Colorectal Cancer,Oncology,Biochemical tests
Colorectal Cancer,Oncology,Tumour markers (CEA)
Colorectal Cancer,Oncology,Electrocardiogram
Colorectal Cancer,Oncology,Echocardiography
Colorectal Cancer,Oncology,Digital rectal examination
Colorectal Cancer,Oncology,"Faecal tests (occult blood test, immunochemical test, DNA testing)"
Colorectal Cancer,Oncology,Colonoscopy
Colorectal Cancer,Oncology,Double contrast barium enema
Congenital Heart Disease,Cardiovascular,FBC and differentials
Congenital Heart Disease,Cardiovascular,"Electrolyte, Urea and Creatinine"
Congenital Heart Disease,Cardiovascular,Chest radiograph
Congenital Heart Disease,Cardiovascular,Electrocardiograhy
Congenital Heart Disease,Cardiovascular,Foetal echocardiography
Congenital Heart Disease,Cardiovascular,Angiography
Constipation,Gastrointestinal,Full blood counts
Constipation,Gastrointestinal,Stool microscopy
Constipation,Gastrointestinal,Serum electrolytes
Constipation,Gastrointestinal,Proctosigmoidoscopy/Colonoscopy
Constipation,Gastrointestinal,Barium enema
Constipation,Gastrointestinal,Serum hormonal levels e.g. Thyroid hormones
Constipation,Gastrointestinal,Abdominal x-rays
Contact Dermatitis,Dermatological,Patch test
Contact Dermatitis,Dermatological,Occupational site assessment
Coronavirus Disease (COVID-19),Infectious/Tropical,FBC & Differentials
Coronavirus Disease (COVID-19),Infectious/Tropical,Chest X-ray
Coronavirus Disease (COVID-19),Infectious/Tropical,Chest CT scan
Coronavirus Disease (COVID-19),Infectious/Tropical,Renal function tests
Coronavirus Disease (COVID-19),Infectious/Tropical,Blood gas analysis
Coronavirus Disease (COVID-19),Infectious/Tropical,"C-reactive protein, Lactate dehydrogenase, D-dimer and ferritin levels"
Coronavirus Disease (COVID-19),Infectious/Tropical,Clotting profile
Coronavirus Disease (COVID-19),Infectious/Tropical,Immunological markers
Coronavirus Disease (COVID-19),Infectious/Tropical,Sputum analysis for respiratory pathogens
Coronavirus Disease (COVID-19),Infectious/Tropical,Blood culture
Coronavirus Disease (COVID-19),Infectious/Tropical,Liver function tests
Cough,Respiratory,Macroscopic and microscopic examination of sputum
Cough,Respiratory,Sputum culture
Cough,Respiratory,Exclude tuberculosis if cough is chronic
Cough,Respiratory,Sputum cytology for malignant cells
Cough,Respiratory,Chest radiograph where indicated
Cough,Respiratory,HIV screen if history and clinical features are suggestive
Cushing's Syndrome,Endocrine/Metabolic,Electrolyte
Cushing's Syndrome,Endocrine/Metabolic,Urea and Creatinine
Cushing's Syndrome,Endocrine/Metabolic,FBS and FBC
Cushing's Syndrome,Endocrine/Metabolic,Urine free cortisol (UFC; at least two measurements)
Cushing's Syndrome,Endocrine/Metabolic,Late-night salivary cortisol (two measurements)
Cushing's Syndrome,Endocrine/Metabolic,1 mg overnight dexamethasone suppression test (DST)
Cushing's Syndrome,Endocrine/Metabolic,Longer low-dose DST (2 mg/day for 48 hours)
Cutaneous Larva Migrans (Creeping Eruption),Dermatological,None useful to management
Cutaneous Squamous Cell Carcinoma,Oncology,Wedge biopsy for histopathological analysis
Cutaneous Squamous Cell Carcinoma,Oncology,Plain x-ray
Cutaneous Squamous Cell Carcinoma,Oncology,CT scan
Cutaneous Squamous Cell Carcinoma,Oncology,MRI
Decubitus (Pressure) Ulcers,Dermatological,Levine's technique for obtaining wound swabs
Decubitus (Pressure) Ulcers,Dermatological,Tissue biopsy
Deep Vein Thrombosis,Cardiovascular,FBC and differentials
Deep Vein Thrombosis,Cardiovascular,Prothrombin time
Deep Vein Thrombosis,Cardiovascular,KCCT
Deep Vein Thrombosis,Cardiovascular,Venous doppler of the leg/pelvic vessels
Deep Vein Thrombosis,Cardiovascular,Echocardiography
Deep Vein Thrombosis,Cardiovascular,Electrocardiography
Deep Vein Thrombosis,Cardiovascular,Venography (pelvic or calf veins)
Delirium,Neurological/Mental,Determined by any causal or contributing medical conditions
Delirium,Neurological/Mental,FBC
Delirium,Neurological/Mental,"Electrolyte, urea and creatinine"
Delirium,Neurological/Mental,Serum Ca
Delirium,Neurological/Mental,LFT
Delirium,Neurological/Mental,Blood glucose
Delirium,Neurological/Mental,Blood culture
Delirium,Neurological/Mental,Urinalysis and urine culture
Delirium,Neurological/Mental,Chest X-ray
Delirium,Neurological/Mental,Thyroid function tests
Dental Caries,Dental/Oral Health,Periapical radiographs
Dental Caries,Dental/Oral Health,Bitewing radiographs
Dental Caries,Dental/Oral Health,Electric pulp testers
Dental Caries,Dental/Oral Health,Thermal test
Depression,Neurological/Mental,FBC and differentials
Depression,Neurological/Mental,Thyroid function test
Depression,Neurological/Mental,Indicative infection screen
Diabetes in Pregnancy,Maternal/Reproductive,Daily SBGM (urine glucose monitoring) is not useful in pregnancy
Diabetes in Pregnancy,Maternal/Reproductive,Regular assessment of maternal wellbeing should include blood pressure and urine protein
Diabetes in Pregnancy,Maternal/Reproductive,Regular surveillance for foetal well-being
Diabetes Mellitus,Endocrine/Metabolic,Fasting or random blood glucose
Diabetes Mellitus,Endocrine/Metabolic,Urine ketones and protein
Diabetes Mellitus,Endocrine/Metabolic,"FBC and Electrolyte, Urea and Creatinine"
Diabetes Mellitus,Endocrine/Metabolic,Fasting blood lipid profile
Diabetes Mellitus,Endocrine/Metabolic,Glycated haemoglobin (HbA1c)
Diabetes Mellitus,Endocrine/Metabolic,ECG
Dizziness,"ENT (Ear, Nose & Throat)",Full Blood Count and differentials
Dizziness,"ENT (Ear, Nose & Throat)",Electrocardiography
Dizziness,"ENT (Ear, Nose & Throat)",Echocardiography
Dizziness,"ENT (Ear, Nose & Throat)",Random blood glucose
Dizziness,"ENT (Ear, Nose & Throat)",X-ray of the sinuses
Dizziness,"ENT (Ear, Nose & Throat)","Neuro-imaging: CT scan, MRI and carotid Doppler ultrasound"
Ectopic Pregnancy,Maternal/Reproductive,FBC
Ectopic Pregnancy,Maternal/Reproductive,Blood grouping and cross matching
Ectopic Pregnancy,Maternal/Reproductive,Urinalysis
Ectopic Pregnancy,Maternal/Reproductive,Ultrasound scan of the pelvis (preferably trans-vaginal)
Ectopic Pregnancy,Maternal/Reproductive,Serum B-hCG (where available) especially in silent cases
Ectopic Pregnancy,Maternal/Reproductive,"Laparoscopy may be necessary when still in doubt, but the availability of trans-vaginal ultrasound scan may obviate this"
Ectopic Pregnancy,Maternal/Reproductive,Final arbiter when the diagnosis is in doubt is exploratory laparotomy
Elder Mistreatment,Geriatric,As indicated by history and Clinical Features
Epistaxis,"ENT (Ear, Nose & Throat)","FBC, including platelet count"
Epistaxis,"ENT (Ear, Nose & Throat)",Bleeding and clotting time; APTT
Epistaxis,"ENT (Ear, Nose & Throat)","Serum Electrolyte, Urea and Creatinine"
Epistaxis,"ENT (Ear, Nose & Throat)",X-ray sinuses
Epistaxis,"ENT (Ear, Nose & Throat)",CT scan
Epistaxis,"ENT (Ear, Nose & Throat)",Nasal endoscopy
Erectile Dysfunction,Maternal/Reproductive,FBC and ESR
Erectile Dysfunction,Maternal/Reproductive,Urinalysis
Erectile Dysfunction,Maternal/Reproductive,Blood glucose screening
Erectile Dysfunction,Maternal/Reproductive,Blood lipid profile (Fasting)
Erectile Dysfunction,Maternal/Reproductive,"Hormone assay – Total and free testosterone, prolactin, FSH, LH"
Erectile Dysfunction,Maternal/Reproductive,Nocturnal penile tumescence testing (Rigidscan)
Erectile Dysfunction,Maternal/Reproductive,Colour Duplex Ultrasound – for suspected vascular cause.
Erectile Dysfunction,Maternal/Reproductive,Cavernosogram – suspected venous leak
