condition_name,category,prevention,Theme
Congenital Heart Disease,Cardiovascular,Genetic counselling,Health Education
Coronavirus Disease (COVID-19),Infectious/Tropical,Non-pharmacological interventions,Other Preventive Measures
Coronavirus Disease (COVID-19),Infectious/Tropical,Vaccination,Vaccination/Immunisation
Cutaneous Larva Migrans (Creeping Eruption),Dermatological,Avoid direct contact of skin with sand,Other Preventive Measures
Decubitus (Pressure) Ulcers,Dermatological,"Address modifiable risk factors e.g. dry skin, immobility, nutritional factors, etc.",Dietary/Nutritional
Decubitus (Pressure) Ulcers,Dermatological,Incidence can be reduced up to 30% with aggressive prevention/intervention strategies,Other Preventive Measures
Decubitus (Pressure) Ulcers,Dermatological,A multi-disciplinary wound team is an asset,Other Preventive Measures
Decubitus (Pressure) Ulcers,Dermatological,"Pressure relief: Improve mobility, Frequent turning, Pressure-relieving devices",Other Preventive Measures
Decubitus (Pressure) Ulcers,Dermatological,"Nutritional Interventions: Increase daily caloric intake for malnourished patients, Achieve daily protein intake, No routine supplementation with vitamin C or zinc unless deficiency is demonstrated, High serum zinc levels may interfere with healing",Dietary/Nutritional
Deep Vein Thrombosis,Cardiovascular,Low molecular weight heparin 5000 units subcutaneously every 12 hours,Other Preventive Measures
Deep Vein Thrombosis,Cardiovascular,Early mobilization,Other Preventive Measures
Delirium,Neurological/Mental,Early treatment of infective and metabolic conditions,Dietary/Nutritional
Delirium,Neurological/Mental,Care with the use of drugs (especially anticholinergic medications) in the elderly,Other Preventive Measures
Delirium,Neurological/Mental,Identify potential risk factors and avoid or mitigate them,Other Preventive Measures
Dental Caries,Dental/Oral Health,Oral health education,Health Education
Dental Caries,Dental/Oral Health,Regular scaling and polishing,Other Preventive Measures
Dental Caries,Dental/Oral Health,Systemic and topical fluoride application,Other Preventive Measures
Dental Caries,Dental/Oral Health,Fissure sealants,Other Preventive Measures
Dental Caries,Dental/Oral Health,Routine dental check-ups,Other Preventive Measures
Depression,Neurological/Mental,Recurrence is reduced by continuing medication for at least 6 months after acute symptoms resolve,Other Preventive Measures
Dermatophyte Infections (Tinea),Dermatological,"Do not share combs, hair brushes, school caps, shoes, socks or underwear",Other Preventive Measures
Dermatophyte Infections (Tinea),Dermatological,Keep the feet dry; avoid tight-fitting covered shoes,Other Preventive Measures
Dermatophyte Infections (Tinea),Dermatological,Aerate the feet as often as possible,Other Preventive Measures
Dermatophyte Infections (Tinea),Dermatological,Use good antifungal powder on the feet after bathing e.g. Tolnaftate 1% powder,Other Preventive Measures
Dermatophyte Infections (Tinea),Dermatological,Reduce perspiration and enhance evaporation from the crural areas by wearing loose pants (e.g. boxer pants) made of absorbent cotton fabric,Other Preventive Measures
Dermatophyte Infections (Tinea),Dermatological,"Apply plain talcum powder or antifungal powders in the flexures e.g. armpits, under the breasts, in the groin area",Other Preventive Measures
Dermatophyte Infections (Tinea),Dermatological,"Avoid exposure to animals with ringworm (M. canis) especially cats, dogs and (less commonly), horses and cattle",Other Preventive Measures
Dermatophyte Infections (Tinea),Dermatological,Excessive perspiration is the most common predisposing factor in adult Tinea corporis,Other Preventive Measures
Dermatophyte Infections (Tinea),Dermatological,"Avoid excessively hot, humid environments, or take a cold shower after sweating",Dietary/Nutritional
Diabetic Foot Problems,Endocrine/Metabolic,"Education, anticipation, early recognition and prompt management",Health Education
Dizziness,"ENT (Ear, Nose & Throat)",Avoid precipitants which should be identified early for effective prevention,Other Preventive Measures
Elder Mistreatment,Geriatric,"Recognize warning signs (in the older adult, caregiver, home or institution) and intervene",Other Preventive Measures
Epistaxis,"ENT (Ear, Nose & Throat)",Avoid/treat predisposing conditions,Dietary/Nutritional
Exfoliative Dermatitis (Erythroderma),Dermatological,"Avoid over-treatment of skin diseases and polypharmacy, generally",Dietary/Nutritional
Exfoliative Dermatitis (Erythroderma),Dermatological,"Do not abuse the skin with ""medicated"" soaps and herbal concoctions (topical and oral)",Other Preventive Measures
Exfoliative Dermatitis (Erythroderma),Dermatological,Get appropriate management of skin disease(s) from qualified personnel,Other Preventive Measures
Falls,Geriatric,"Vitamin D 800 IU daily plus calcium 1,200 mg for all older adults at risk of falling",Other Preventive Measures
Falls,Geriatric,"Environmental modification: Adequate lighting, preferably with switches located at entrances to rooms or hallways, Arrange furniture to avoid obstruction, Clean up spills without delay, Light source (e.g. flashlight) to be kept handy in the event of power failure, Non-skid mats in bath tubs, Provide elevated toilet seats, Provide handrails on both sides of bathroom",Hygiene/Sanitation
Falls,Geriatric,Address predisposing factors,Other Preventive Measures
Falls,Geriatric,"Educate patients on: Proper use of assistive devices, Arising and changing position slowly, Signs and symptoms of hypoglycaemia, Examine eyes regularly, Maintain adequate hydration, Provide frequent, small meals, Encourage rest after meals",Health Education
Food Poisoning,Infectious/Tropical,Environmental and personal hygiene,Hygiene/Sanitation
Food Poisoning,Infectious/Tropical,Hand washing with soap and water.,Hygiene/Sanitation
Food Poisoning,Infectious/Tropical,Decontamination of water supplies by chlorination.,Other Preventive Measures
Food Poisoning,Infectious/Tropical,Use of sanitary latrines or toilets,Other Preventive Measures
Food Poisoning,Infectious/Tropical,Identify and treat chronic carriers among food handlers.,Dietary/Nutritional
Food Poisoning,Infectious/Tropical,Hygienic preparation and storage of food and water,Hygiene/Sanitation
Food Poisoning,Infectious/Tropical,Ensure that food is cooked at temperatures sufficient to kill bacteria.,Dietary/Nutritional
Food Poisoning,Infectious/Tropical,Refrigerate food whenever possible.,Dietary/Nutritional
Food Poisoning,Infectious/Tropical,Encourage exclusive breastfeeding.,Other Preventive Measures
Food Poisoning,Infectious/Tropical,Encourage measures to reduce the burden of malnutrition (with its attendant predisposition to severe infections),Dietary/Nutritional
Food Poisoning,Infectious/Tropical,"Administer a pentavalent vaccine (A, B, C, D, and E) for persons at high risk of botulism.",Vaccination/Immunisation
Food Poisoning,Infectious/Tropical,Report new cases to public health authorities,Other Preventive Measures
Foreign Bodies in the Airways,Surgical/Emergency,Vigilant supervision of young children,Other Preventive Measures
Foreign Bodies in the Ear,"ENT (Ear, Nose & Throat)",Vigilant supervision of young children,Other Preventive Measures
Foreign Bodies in the Nose and Rhinoliths,"ENT (Ear, Nose & Throat)",Vigilant supervision of young children,Other Preventive Measures
Frailty,Geriatric,Identify patients who are pre-frail and intervene to return to robustness,Other Preventive Measures
Frailty,Geriatric,Exercise (endurance and muscle strengthening; stretching and balance exercises),Lifestyle/Exercise
Frailty,Geriatric,Nutrition (healthy food; supplements as indicated),Dietary/Nutritional
Frailty,Geriatric,Reduce chronic disease prevalence,Other Preventive Measures
Frailty,Geriatric,Treat sarcopenia,Dietary/Nutritional
Frailty,Geriatric,Promote healthy aging,Health Education
Gastritis,Gastrointestinal,"Avoid risk factors (NSAIDs, alcohol, etc)",Other Preventive Measures
Giardiasis,Infectious/Tropical,Good Communal and Personal hygiene,Hygiene/Sanitation
Giardiasis,Infectious/Tropical,Potable water.,Other Preventive Measures
Glaucoma,Ophthalmology,Early detection and prompt treatment,Screening/Early Detection
Glaucoma,Ophthalmology,Screening for glaucoma should be incorporated into the health plan of any nation,Screening/Early Detection
Granuloma Inguinale (Donovanosis Granuloma Venereum),Infectious/Tropical,"Counselling, Compliance, Condom use and Contact treatment",Health Education
Guinea Worm Disease (Dracunculiasis),Infectious/Tropical,Provide universal access to safe and portable water,Other Preventive Measures
Guinea Worm Disease (Dracunculiasis),Infectious/Tropical,"In hyperendemic areas, treat the whole population twice yearly with ivermectin",Dietary/Nutritional
Heart Failure,Cardiovascular,Adequate treatment of hypertension and diabetes mellitus,Dietary/Nutritional
Heart Failure,Cardiovascular,Good sanitation and personal hygiene (to prevent rheumatic fever),Hygiene/Sanitation
Helminthiasis,Infectious/Tropical,Good personal and food hygiene,Hygiene/Sanitation
Helminthiasis,Infectious/Tropical,Access to safe and potable water,Other Preventive Measures
Helminthiasis,Infectious/Tropical,Regular deworming,Other Preventive Measures
Helminthiasis,Infectious/Tropical,Adequate cooking of food and meats,Dietary/Nutritional
Hepatocellular Carcinoma (HCC),Oncology,Hepatitis B screening and vaccination,Vaccination/Immunisation
Hepatocellular Carcinoma (HCC),Oncology,Abdominal USS/CT,Other Preventive Measures
Hepatocellular Carcinoma (HCC),Oncology,Serological markers: α-fetoprotein,Other Preventive Measures
Human Immunodeficiency Virus (HIV) Infection,Infectious/Tropical,ART for pregnant and breastfeeding women,Other Preventive Measures
Human Immunodeficiency Virus (HIV) Infection,Infectious/Tropical,Nevirapine and AZT for infants,Other Preventive Measures
Human Immunodeficiency Virus (HIV) Infection,Infectious/Tropical,Cotrimoxazole prophylaxis for HIV-exposed infants,Other Preventive Measures
Human Immunodeficiency Virus (HIV) Infection,Infectious/Tropical,Three-drug ARV regimen for PEP,Other Preventive Measures
Human Immunodeficiency Virus (HIV) Infection,Infectious/Tropical,PrEP for high-risk individuals,Other Preventive Measures
Human Immunodeficiency Virus (HIV) Infection,Infectious/Tropical,"Behavioural interventions: Abstinence, fidelity, condom use, delay sexual activity",Safe Sexual Practices
Hyperlipidaemia,Endocrine/Metabolic,Dietary manipulation,Dietary/Nutritional
Hyperlipidaemia,Endocrine/Metabolic,Early identification of individuals at risk,Other Preventive Measures
Hypertension,Cardiovascular,Weight reduction,Other Preventive Measures
Hypertension,Cardiovascular,Exercise moderately and regularly,Lifestyle/Exercise
Hypertension,Cardiovascular,Public education,Health Education
Hypertension,Cardiovascular,Individual and Population based approaches,Other Preventive Measures
Hypertension,Cardiovascular,Advocacy for the positive lifestyle change,Lifestyle/Exercise
Hypothyroidism (Myxoedema),Endocrine/Metabolic,Iodinated salt to prevent iodine deficiency,Other Preventive Measures
Infective Conjunctivitis,Ophthalmology,Wash hands thoroughly after any unhygienic procedure,Hygiene/Sanitation
Infective Conjunctivitis,Ophthalmology,Avoid sharing towels used for cleaning face,Hygiene/Sanitation
Infective Endocarditis,Infectious/Tropical,Prophylactic antibiotics for patients at risk who are undergoing dental procedures under local or no anaesthesia,Other Preventive Measures
Infective Endocarditis,Infectious/Tropical,"For those who have NOT had endocarditis, and have NOT received more than a single dose of penicillin in the last one month: Amoxicillin: Adult: 3 g orally 1 hr before procedure, Child: Under 5 years: 750 mg orally 1 hour before procedure, 5- 10 years: 1.5 g",Other Preventive Measures
Infective Endocarditis,Infectious/Tropical,"For penicillin-allergic patients or patients who have received more than a single dose of a penicillin in the previous one month: Azithromycin: Adult: 500 mg orally one hour before procedure, Child: Under 5 years: 200 mg orally, 5 - 10 years: 300 mg",Other Preventive Measures
Infective Endocarditis,Infectious/Tropical,Patients who have had endocarditis: Amoxicillin plus gentamicin intravenously as for procedures under general anaesthesia,Other Preventive Measures
Infective Endocarditis,Infectious/Tropical,"Dental procedures under general anaesthesia, and no special risk: Amoxicillin: Adult: 1 g intravenously at induction of anaesthesia; mg orally 6 hours later, Child: Under 5 years: a quarter of adult dose, 5 - 10 years: half adult dose OR Adult: 3 g orally 4 hours before induction, then 3g as soon as possible after the procedure, Child: Under 5 years: a quarter of adult dose, 5 - 10 years: half adult dose",Other Preventive Measures
Infective Endocarditis,Infectious/Tropical,"Special risk, e.g. previous infective endocarditis, or patients with prosthetic valves: Amoxicillin plus gentamicin intravenously Adult: 1 g amoxicillin plus 120 mg gentamicin at induction then oral amoxicillin 500 mg 6 hours after procedure, Child: Under 5 years: a quarter of adult dose of plus 2 mg/kg gentamicin intravenously at induction, 5 - 10 years: half adult dose for amoxicillin; 2 mg/kg gentamicin",Other Preventive Measures
Infective Endocarditis,Infectious/Tropical,"Patients who are penicillin-allergic or have received more than a single dose of a penicillin in the last one month: Vancomycin: Adult: 1 g intravenously over at least 100 minutes, Child under 10 years: Vancomycin 20 mg/kg Plus Gentamicin: Adult: 120 mg intravenously - Given at induction or 15 minutes before procedure, Child under 10 years: Vancomycin 20 mg/kg",Other Preventive Measures
Infective Endocarditis,Infectious/Tropical,Genito-urinary tract manipulation as for special risk patients undergoing dental procedures under general anaesthesia,Other Preventive Measures
Infective Endocarditis,Infectious/Tropical,"Obstetrics, gynaecological and gastrointestinal procedures as for genitourinary tract manipulation",Screening/Early Detection
Insomnia,Neurological/Mental,Reduced stress exposure,Other Preventive Measures
Insomnia,Neurological/Mental,"Caution with alcohol and psychoactive substances, such as coffee, kolanut",Other Preventive Measures
Insomnia,Neurological/Mental,"Discourage misuse of ""sleeping pills"" e.g., bromazepam, diazepam",Other Preventive Measures
Lichen Planus,Dermatological,Avoid precipitating drugs,Other Preventive Measures
Liver Cirrhosis,Gastrointestinal,Immunization against hepatitis A and B,Vaccination/Immunisation
Liver Cirrhosis,Gastrointestinal,Abstinence from alcohol.,Other Preventive Measures
Lung Abscess,Respiratory,Good dental care,Other Preventive Measures
Lung Abscess,Respiratory,Adequate treatment of acute pneumonia,Dietary/Nutritional
Lung Abscess,Respiratory,Preventive with vaccination in persons at risk,Vaccination/Immunisation
Lung Abscess,Respiratory,HIV infected patients who are still capable of responding to a vaccine challenge.,Vaccination/Immunisation
Lung Abscess,Respiratory,Patients with recurrent sinopulmonary infection,Other Preventive Measures
Lung Abscess,Respiratory,Patients with or acquired hypogammaglobulinaemia,Other Preventive Measures
Lung Cancer,Oncology,Avoidance of smoking including secondhand smoke,Other Preventive Measures
Lung Cancer,Oncology,Reducing occupational exposure to lung carcinogens,Other Preventive Measures
Lung Cancer,Oncology,Reduction of air pollution,Other Preventive Measures
Lymphogranuloma Venereum,Infectious/Tropical,Counselling,Health Education
Lymphogranuloma Venereum,Infectious/Tropical,Compliance,Other Preventive Measures
Lymphogranuloma Venereum,Infectious/Tropical,Condom use,Safe Sexual Practices
Lymphogranuloma Venereum,Infectious/Tropical,Contact treatment,Dietary/Nutritional
Lymphomas,Oncology,Avoid unnecessary exposure to irradiation and chemicals,Other Preventive Measures
Mastoiditis,"ENT (Ear, Nose & Throat)",Adequate and timely treatment of acute otitis media,Dietary/Nutritional
Measles (Rubeola),Infectious/Tropical,Isolation precaution from the 5th day of exposure until 5 days after appearance of the rash,Other Preventive Measures
Measles (Rubeola),Infectious/Tropical,Measles vaccine at 9 months,Vaccination/Immunisation
Measles (Rubeola),Infectious/Tropical,"Vaccine may be given at 6 months for measles post-exposure, and in outbreak prophylaxis",Vaccination/Immunisation
Measles (Rubeola),Infectious/Tropical,Post-exposure prophylaxis: Passive immunization with immune globulin within 6 days of exposure,Vaccination/Immunisation
Meningitis,Infectious/Tropical,"Immunization of close contacts against communicable diseases - Meningococcus, Haemophilus, Streptococcus",Vaccination/Immunisation
Meningitis,Infectious/Tropical,Chemoprophylaxis (rifampicin or ciprofloxacin),Other Preventive Measures
Micronutrient Deficiencies,Nutritional,Nutritional counseling,Health Education
Micronutrient Deficiencies,Nutritional,"Adequate intake of locally available, nutritious foods",Dietary/Nutritional
Micronutrient Deficiencies,Nutritional,Prophylactic therapies for malaria,Other Preventive Measures
Migraines,Neurological/Mental,Reduce stress levels and avoid precipitants which must be identified for effective prevention,Other Preventive Measures
Migraines,Neurological/Mental,"Prophylactic medications if attacks last more than 15 days a month, or are severely incapacitating (in the absence of other causes)",Other Preventive Measures
Migraines,Neurological/Mental,"Early detection and management of refractive errors, sinusitis, otorhinolaryngologic and dental problems.",Screening/Early Detection
Molluscum Contagiosum,Infectious/Tropical,Avoid direct skin contact with an infected person,Other Preventive Measures
Myiasis,Dermatological,Iron clothes that are dried in the open air,Other Preventive Measures
Myocarditis,Cardiovascular,"Prevent infection (viral, bacterial, etc)",Other Preventive Measures
Myocarditis,Cardiovascular,Prevent exposure to toxins,Other Preventive Measures
Myocarditis,Cardiovascular,Nutrition education,Health Education
Malaria,Infectious/Tropical,Reduce the frequency of mosquito bites by avoiding exposure to mosquitoes at their peak feeding times.,Vector Control
Malaria,Infectious/Tropical,Use insect repellants.,Other Preventive Measures
Malaria,Infectious/Tropical,Put on suitable clothing.,Other Preventive Measures
Malaria,Infectious/Tropical,Use insecticide-impregnated bed nets (ITN),Vector Control
Malaria,Infectious/Tropical,"Chemoprohylaxis is indicated for children born to non-immune mothers in endemic areas, pregnant women, travellers to endemic areas, and people with sickle cell anaemia.",Other Preventive Measures
Malaria,Infectious/Tropical,Mefloquine and Atovaquone-Proguanil are recommended for use in Nigeria.,Other Preventive Measures
Malaria,Infectious/Tropical,Chemoprophylaxis is not recommended for individuals living with areas of intense transmission.,Other Preventive Measures
