condition_name,category,complication
"Acute Rhinitis (Common Cold, Coryza)",Respiratory,Sinusitis (suspect with worsening symptoms with facial pain)
"Acute Rhinitis (Common Cold, Coryza)",Respiratory,Lower respiratory infection
"Acute Rhinitis (Common Cold, Coryza)",Respiratory,Otitis media
"Acute Rhinitis (Common Cold, Coryza)",Respiratory,Obstruction of internal auditory meatus: may cause deafness.
Adenoid Diseases,"ENT (Ear, Nose & Throat)",Sinusitis
Adenoid Diseases,"ENT (Ear, Nose & Throat)",Recurrent otitis media
Adenoid Diseases,"ENT (Ear, Nose & Throat)",Pneumonitis
Alcohol Dependence (Alcoholism),Neurological/Mental,Hypertension
Alcohol Dependence (Alcoholism),Neurological/Mental,Liver cirrhosis
Alcohol Dependence (Alcoholism),Neurological/Mental,Damage to other organs (including the brain)
Alcohol Dependence (Alcoholism),Neurological/Mental,Accidents
Alcohol Dependence (Alcoholism),Neurological/Mental,Delirium tremens
Alcohol Dependence (Alcoholism),Neurological/Mental,Increased mortality (reduce life expectancy)
Alcohol Dependence (Alcoholism),Neurological/Mental,"Family, social and occupational disability"
Allergic Conjunctivitis,Ophthalmology,Pannus formation
Allergic Conjunctivitis,Ophthalmology,Keratoconus
Allergic Conjunctivitis,Ophthalmology,Corneal plaques
Alveolar Osteitis (Dry Socket),Dental/Oral Health,Osteomyelitis
Amoebiasis,Infectious/Tropical,Amoebic Liver Abscess (ALA)
Amoebiasis,Infectious/Tropical,Intracranial space-occupying lesion
Amoebiasis,Infectious/Tropical,"Rupture:Hepatobronchial amoebiasis, Lungs Abscess, Peritoneal Abscess"
Amoebiasis,Infectious/Tropical,Amoeboma
Amoebiasis,Infectious/Tropical,Anal ulceration
Amoebiasis,Infectious/Tropical,Amoebic cutis
Amoebiasis,Infectious/Tropical,Chronic carrier
Anaemias,Haematological,Cardiac failure
Anemia in Pregnancy,Maternal/Reproductive,"Maternal complications: Abortion, Cardiac failure, Reduced ability to tolerate blood loss at delivery, Reduced ability to tolerate anaesthesia, Diminished resistance to infection, Preterm labour, Precipitate labour may occur, Death"
Anemia in Pregnancy,Maternal/Reproductive,"Foetal complications: Spontaneous abortion, Intrauterine growth restriction, Intrauterine foetal death (leading to still birth), Prematurity, Risk of developing anaemia within 2 - 3 months of birth if mother suffered iron deficiency anaemia"
Anxiety Disorder,Neurological/Mental,Chronicity
Anxiety Disorder,Neurological/Mental,Co-morbid depression
Anxiety Disorder,Neurological/Mental,Substance use disorders
Anxiety Disorder,Neurological/Mental,Insomnia
Anxiety Disorder,Neurological/Mental,Poor quality of life
Anxiety Disorder,Neurological/Mental,Problems at school or work
Anxiety Disorder,Neurological/Mental,Medical morbidity (e.g. hypertension)
Atopic Dermatitis (Atopic Eczema),Dermatological,Bacterial infections of the skin
Atopic Dermatitis (Atopic Eczema),Dermatological,Eczema herpeticum
Atopic Dermatitis (Atopic Eczema),Dermatological,Complications of over treatment with steroids
Bacillary Dysentery,Infectious/Tropical,Septicaemia/bacteraemia
Bacillary Dysentery,Infectious/Tropical,Severe rectal bleeding
Bacillary Dysentery,Infectious/Tropical,Intestinal perforation
Bacillary Dysentery,Infectious/Tropical,Reiter's syndrome
Bacterial Vaginosis,Maternal/Reproductive,Acute salpingitis
Bacterial Vaginosis,Maternal/Reproductive,Premature rupture of membranes
Bacterial Vaginosis,Maternal/Reproductive,Preterm delivery and low birth weight
Benign Prostatic Hyperplasia,Renal/Urological,Urinary retention
Benign Prostatic Hyperplasia,Renal/Urological,Recurrent Urinary Tract Infection
Benign Prostatic Hyperplasia,Renal/Urological,Bladder calculus
Benign Prostatic Hyperplasia,Renal/Urological,chronic renal insufficiency & Acute renal failure
Benign Prostatic Hyperplasia,Renal/Urological,Haematuria
Benign Prostatic Hyperplasia,Renal/Urological,Obstructive uropathy
Bipolar Disorders,Neurological/Mental,"Social and personal consequences of inappropriate behaviour (e.g. unplanned pregnancy, drug and alcohol abuse, sexually-transmitted infections, etc.)"
Bipolar Disorders,Neurological/Mental,Suicide and Homicide
Bipolar Disorders,Neurological/Mental,Increased risk of morbidity (reduce life expectancy) (e.g. trauma and accidents)
Bipolar Disorders,Neurological/Mental,Poor performance at school or work
Bipolar Disorders,Neurological/Mental,Financial or legal issues
Bipolar Disorders,Neurological/Mental,Increased mortality
Blood Transfusion in the Newborn,Haematological,Transfusion reactions are extremely rare in the newborn.
Blood Transfusion in the Newborn,Haematological,"Risk of transmission of infections (HIV, Hepatitis B Virus, Hepatitis C Virus, CMV) is germane"
Blood Transfusion in the Newborn,Haematological,"Hyperkalaemia, Hypocalcaemia, acidosis, hypothermia."
Blood Transfusion in the Newborn,Haematological,Circulatory overload is common. The recommended measures include slowing of the drip rate and intravenous frusemide 1 mg/kg.
Blood Transfusion in the Newborn,Haematological,Transfusion reactions are extremely rare in the newborn
Blood Transfusion in the Newborn,Haematological,"Risk of transmission of infections such as HIV, Hepatitis B Virus, Hepatitis C Virus, CMV"
Blood Transfusion in the Newborn,Haematological,Hyperkalaemia
Blood Transfusion in the Newborn,Haematological,Hypocalcaemia
Blood Transfusion in the Newborn,Haematological,Acidosis
Blood Transfusion in the Newborn,Haematological,Hypothermia
Blood Transfusion in the Newborn,Haematological,Circulatory overload is common
Blood Transfusion,Haematological,"Immunological: Sensitization to red cell antigens, Haemolytic transfusion reactions (Immediate, Delayed), Reactions due to white cell and platelet antibodies, Febrile transfusion reactions, Post-transfusion purpura, Reactions due to white cell and plasma protein antibodies, Urticaria, Anaphylaxis"
Blood Transfusion,Haematological,"Non-immunological: Transmission of disease, Reactions due to bacteria and bacterial pyrogens, Circulatory overload, Thrombophlebitis, Air embolism, Transfusion haemosiderosis, Complications of massive transfusion"
Bronchial Asthma,Respiratory,Spontaneous pneumothorax
Bronchial Asthma,Respiratory,Pneumo-mediastinum
Bronchial Asthma,Respiratory,Atelectasis
Bronchiectasis,Respiratory,Massive haemoptysis
Bronchiectasis,Respiratory,Lung abscess
Bronchiectasis,Respiratory,Mycotic abscess
Bronchiectasis,Respiratory,Pulmonary amyloidosis
Bronchiectasis,Respiratory,Ventilatory failure
Bronchiectasis,Respiratory,Cor pulmonale and right ventricular failure
Cancer Therapy,Oncology,Pain
Cancer Therapy,Oncology,Fungating malignant ulcers
Cancer Therapy,Oncology,Malignant pleural effusion and/or widespread lung parenchyma metastasis
Cancer Therapy,Oncology,Brain metastasis
Cancer Therapy,Oncology,Spinal metastasis
Cancer Therapy,Oncology,Long bone metastasis and pathological fracture
Cancer Therapy,Oncology,Limb lymphoedema associated with breast cancer
Carcinoma of the Prostate,Oncology,Urinary retention
Carcinoma of the Prostate,Oncology,Recurrent Urinary tract infection
Carcinoma of the Prostate,Oncology,Obstructive uropathy
Carcinoma of the Prostate,Oncology,Progressive renal failure
Carcinoma of the Prostate,Oncology,Paraplegia/Paraparesis
Carcinoma of the Prostate,Oncology,Pathological fractures
Carcinoma of the Prostate,Oncology,Lymphoedema
Cardiac Arrhythmias,Cardiovascular,Cardiac failure
Cardiac Arrhythmias,Cardiovascular,Stroke
Cardiac Arrhythmias,Cardiovascular,Peripheral embolic phenomena
Cardiac Arrhythmias,Cardiovascular,Sudden death
Cardiac Disease in Pregnancy,Maternal/Reproductive,Maternal mortality in various conditions (25 - 50% in Eisenmenger's syndrome; 5% in tetralogy of Fallot; 1% in rheumatic heart disease)
Cardiac Disease in Pregnancy,Maternal/Reproductive,Congestive cardiac failure: greatest risk post-partum
Cardiac Disease in Pregnancy,Maternal/Reproductive,"Foetal complications: Rheumatic heart disease causing intrauterine growth restriction, pre-term delivery, cyanotic congenital heart disease, poor outcomes with foetal loss up to 40%"
Cardiac Disease in Pregnancy,Maternal/Reproductive,"Uncorrected coarctation of aorta leading to foetal growth restriction, pre-maturity, small for gestation age, intrauterine growth restriction, intrauterine fetal death, 10 - 15% chance of baby having congenital heart disease"
Cardiomyopathies,Cardiovascular,Sudden cardiac death
Cardiomyopathies,Cardiovascular,Thromboembolism
Cardiomyopathies,Cardiovascular,Arrhythmias
Cataract,Ophthalmology,"In congenital cases, can lead to amblyopia in children (lazy eye) if not operated early"
Cataract,Ophthalmology,Intumescent cataract with secondary glaucoma
Cataract,Ophthalmology,Phacolytic uveitis and glaucoma
Cellulitis,Dermatological,"Extension towards the eyes, and risk of cavernous sinus thrombosis: cellulitis affecting maxillary teeth"
Cellulitis,Dermatological,Respiratory difficulty: cellulitis affecting mandibular teeth
Cellulitis,Dermatological,Unusual in immunocompetent adults; children and compromised adults are at higher risk
Cellulitis,Dermatological,Septicaemia
Cellulitis,Dermatological,Gangrene
Cellulitis,Dermatological,Metastatic abscesses
Cellulitis,Dermatological,Recurrent cellulitis may predispose to chronic lymphoedema
"Chancroid (Ulcus Molle, Soft Chancre)",Infectious/Tropical,"Progressive ulceration and amputation of the phallus, particularly in HIV patients"
Chlamydial Infection (Other Than Lymphogranuloma Venereum),Infectious/Tropical,Epididymo-orchitis and sterility in males
Chlamydial Infection (Other Than Lymphogranuloma Venereum),Infectious/Tropical,Pelvic inflammatory disease (PID) and infertility in females
Chlamydial Infection (Other Than Lymphogranuloma Venereum),Infectious/Tropical,Adverse pregnancy outcomes
Chlamydial Infection (Other Than Lymphogranuloma Venereum),Infectious/Tropical,Conjunctivitis and pneumonia in the newborn
Cholera,Infectious/Tropical,Hydropaenia/Hypovolaemic shock with multiple end organ failure leading to death
Cholera,Infectious/Tropical,Dyselectrolytetaemia
Cholera,Infectious/Tropical,Hypokalaemia
Chronic Kidney Disease (CKD),Renal/Urological,Anaemia
Chronic Kidney Disease (CKD),Renal/Urological,CKD Mineral and Bone Disease
Chronic Kidney Disease (CKD),Renal/Urological,Congestive cardiac failure
Chronic Kidney Disease (CKD),Renal/Urological,Cerebrovascular disease
Chronic Kidney Disease (CKD),Renal/Urological,Peripheral vascular disease
Chronic Kidney Disease (CKD),Renal/Urological,Malnutrition
Chronic Lymphocytic Leukaemia,Oncology,Richter transformation
Chronic Lymphocytic Leukaemia,Oncology,Progression of disease
Chronic Myeloid Leukaemia (CML),Oncology,Blastic transformation
Chronic Myeloid Leukaemia (CML),Oncology,Death
Chronic Otitis Media,"ENT (Ear, Nose & Throat)","Intracranial suppuration (extradural abscess, meningitis, or brain abscess)"
Chronic Otitis Media,"ENT (Ear, Nose & Throat)",Lateral sinus thrombosis
Chronic Otitis Media,"ENT (Ear, Nose & Throat)",Facial nerve paralysis
Chronic Otitis Media,"ENT (Ear, Nose & Throat)",Labyrinthitis
Gonorrhea in Females,Infectious/Tropical,Infections of Skene's periurethral glands and Bartholin's labial glands; a Bartholin's gland abscess may cause pain on sitting or walking
Gonorrhea in Females,Infectious/Tropical,Vulvitis
Gonorrhea in Females,Infectious/Tropical,"Ascending infection to the endometrium, fallopian tubes, ovaries and peritoneum (pelvic inflammatory disease)"
Gonorrhea in Females,Infectious/Tropical,Ectopic pregnancy
Gonorrhea in Females,Infectious/Tropical,Infertility
Gonorrhea in Females,Infectious/Tropical,Perihepatic abscess (Fitz-Hugh-Curtis syndrome)
Gonorrhea in Females,Infectious/Tropical,Risk of disseminated gonococcal infection during pregnancy and menstruation
Gonorrhea in Females,Infectious/Tropical,Premature rupture of membranes
Gonorrhea in Females,Infectious/Tropical,Premature labour
Gonorrhea in Females,Infectious/Tropical,Chorioamnionitis
Gonorrhea in Females,Infectious/Tropical,Septic abortion
Gonorrhea in Females,Infectious/Tropical,Ophthalmia neonatorum
Gonorrhea in Females,Infectious/Tropical,Oropharyngeal gonorrhoea
Congenital Heart Disease,Cardiovascular,Embolic phenomena
Congenital Heart Disease,Cardiovascular,Cardiac failure
Constipation,Gastrointestinal,Faecal impaction
Constipation,Gastrointestinal,Rectal prolapse
Constipation,Gastrointestinal,Anal fissures
Constipation,Gastrointestinal,Haemorrhoids
Constipation,Gastrointestinal,Rectal bleeding
Contact Dermatitis,Dermatological,Impetiginization
Contact Dermatitis,Dermatological,Secondary dissemination
Coronavirus Disease (COVID-19),Infectious/Tropical,"Thromboembolism-Stroke, deep venous thrombosis, pulmonary embolism, or acute coronary syndrome"
Coronavirus Disease (COVID-19),Infectious/Tropical,Acute liver injury
Coronavirus Disease (COVID-19),Infectious/Tropical,Acute kidney injury
Coronavirus Disease (COVID-19),Infectious/Tropical,Acute cardiac injury
Coronavirus Disease (COVID-19),Infectious/Tropical,Disseminated intravascular coagulation (DIC)
Coronavirus Disease (COVID-19),Infectious/Tropical,Sepsis and septic shock
Coronavirus Disease (COVID-19),Infectious/Tropical,Acute respiratory failure
Coronavirus Disease (COVID-19),Infectious/Tropical,Secondary infection
Coronavirus Disease (COVID-19),Infectious/Tropical,Multiorgan failure
Cushing's Syndrome,Endocrine/Metabolic,Diabetes mellitus
Cushing's Syndrome,Endocrine/Metabolic,Osteoporosis and fractures
Cushing's Syndrome,Endocrine/Metabolic,Hypopituitarism (compression of other corticotrophs)
Cushing's Syndrome,Endocrine/Metabolic,Steroid psychosis
Cushing's Syndrome,Endocrine/Metabolic,Hormone replacement
Cutaneous Larva Migrans (Creeping Eruption),Dermatological,Secondary bacterial infection
Cutaneous Larva Migrans (Creeping Eruption),Dermatological,Fatal Strongyloides stercoralis hyper infection in immunocompromised patients
Cutaneous Squamous Cell Carcinoma,Oncology,Recurrent bleeding
Cutaneous Squamous Cell Carcinoma,Oncology,joint stiffness
Cutaneous Squamous Cell Carcinoma,Oncology,muscle weakness
Cutaneous Squamous Cell Carcinoma,Oncology,perineural invasion
Decubitus (Pressure) Ulcers,Dermatological,Secondary wound infection
Decubitus (Pressure) Ulcers,Dermatological,Systemic Inflammatory Response Syndrome
Decubitus (Pressure) Ulcers,Dermatological,Osteomyelitis
Deep Vein Thrombosis,Cardiovascular,Pulmonary embolism
Delirium,Neurological/Mental,Usually transient but may be associated with increased morbidity (e.g. from falls) and mortality
Delirium,Neurological/Mental,"Increased length of hospital stay: functional decline, immobility, pressure ulcers, deep vein thrombosis, pulmonary embolism, etc."
Delirium,Neurological/Mental,Complications associated with underlying causes
Delirium,Neurological/Mental,Increased risk of dementia
Delirium,Neurological/Mental,Worsening of pre-existing cognitive impairment
Delirium,Neurological/Mental,Mortality
Dental Caries,Dental/Oral Health,Pulpitis; If not treated can cause apical periodontitis and dento alveolar abscess
Depression,Neurological/Mental,Worsening of co-morbid physical illness
Depression,Neurological/Mental,Suicide
Depression,Neurological/Mental,Recurrence
Diabetes in Pregnancy,Maternal/Reproductive,Acute metabolic complications of diabetes mellitus
Dizziness,"ENT (Ear, Nose & Throat)",Falls with fractures
Dizziness,"ENT (Ear, Nose & Throat)",Stroke
Dizziness,"ENT (Ear, Nose & Throat)",If due to intracranial tumour: raised intracranial pressure with coning is a distinct possibility
Dizziness,"ENT (Ear, Nose & Throat)","If due to other intracranial pathology, there may be cranial nerve palsies"
Ectopic Pregnancy,Maternal/Reproductive,Shock
Ectopic Pregnancy,Maternal/Reproductive,Sterility (with the loss of both tubes)
Ectopic Pregnancy,Maternal/Reproductive,Often requires blood transfusion (with its attendant cost and risk of blood-borne infections)
Ectopic Pregnancy,Maternal/Reproductive,5-20% risk of having another ectopic gestation fatality
Elder Mistreatment,Geriatric,Physical harm
Elder Mistreatment,Geriatric,"Psychological harm e.g. living in fear, depression, anxiety, etc."
Elder Mistreatment,Geriatric,Morbidity worsening
Elder Mistreatment,Geriatric,Mortality
Epistaxis,"ENT (Ear, Nose & Throat)",Haemorrhagic shock
Epistaxis,"ENT (Ear, Nose & Throat)",Fatality
Erectile Dysfunction,Maternal/Reproductive,Psychological disturbance – stress and anxiety
Erectile Dysfunction,Maternal/Reproductive,Unsatisfactory sex life
Erectile Dysfunction,Maternal/Reproductive,Embarrassment and low esteem
Erectile Dysfunction,Maternal/Reproductive,Relationship problems
Erectile Dysfunction,Maternal/Reproductive,Infertility
Exfoliative Dermatitis (Erythroderma),Dermatological,Hypothermia
Exfoliative Dermatitis (Erythroderma),Dermatological,Hypoalbuminaemia
Exfoliative Dermatitis (Erythroderma),Dermatological,Dehydration
Exfoliative Dermatitis (Erythroderma),Dermatological,High output cardiac failure
Exfoliative Dermatitis (Erythroderma),Dermatological,Septicaemia
Exfoliative Dermatitis (Erythroderma),Dermatological,Enteropathy
Exfoliative Dermatitis (Erythroderma),Dermatological,Steatorrhoea
Exfoliative Dermatitis (Erythroderma),Dermatological,Anaemia
Falls,Geriatric,"Economic: Costs of Disability, Dependence, Hospitalization and interventions to treat Complications"
Falls,Geriatric,"Physical: Dehydration, Dependency, Disability and Fractures, Haemorrhage e.g. subdural haematoma, Hypothermia, Immobility, Increased likelihood of falling again, Self-imposed reduction in physical activity, Severe injuries requiring hospitalization and Skin lacerations"
Falls,Geriatric,"Psychological: Anxiety, Depression, Fear of falling; falls phobia syndrome, Loss of confidence, Social withdrawal"
Fevers,Infectious/Tropical,Heat stroke in adults
Fevers,Infectious/Tropical,Febrile convulsions in children
Fevers,Infectious/Tropical,Complications associated with underlying cause(s) of fever.
Fevers,Infectious/Tropical,Arrythmias in those with cardiac disease.
Food Poisoning,Infectious/Tropical,"Fluid and electrolyte derangements, Dehydration"
Food Poisoning,Infectious/Tropical,Rectal prolapse.
Food Poisoning,Infectious/Tropical,"Protein-losing enteropathy, Malnutrition"
Food Poisoning,Infectious/Tropical,Haemolytic-uraemic syndrome
Food Poisoning,Infectious/Tropical,"Toxic megacolon, perforation"
Food Poisoning,Infectious/Tropical,"Bacteraemia, Cholecystitis, Pancreatitis, Cystitis, Meningitis, Endocarditis, Arthritis, Peritonitis, Cellulitis or Septic abortion"
Foreign Bodies in the Airways,Surgical/Emergency,Life-threatening asphyxia
Foreign Bodies in the Airways,Surgical/Emergency,Lung collapse and atelectasis
Foreign Bodies in the Ear,"ENT (Ear, Nose & Throat)",Otitis externa
Foreign Bodies in the Ear,"ENT (Ear, Nose & Throat)",Perforation of tympanic membrane from attempts at removal
Foreign Bodies in the Nose and Rhinoliths,"ENT (Ear, Nose & Throat)",Secondary infection: rhinosinusitis
Foreign Body Impaction,Gastrointestinal,"Perforation of oesophagus, mediastinitis, aspiration pneumonitis"
Furunculosis (Boils),Dermatological,Cellulitis
Furunculosis (Boils),Dermatological,Septicaemia
Furunculosis (Boils),Dermatological,Cavernous sinus thrombosis when the lesions are on the head and neck
Gastritis,Gastrointestinal,Acute gastritis: Upper gastrointestinal (GI) haemorrhage
Gastritis,Gastrointestinal,Chronic gastritis: peptic ulcer disease; gastric cancer
Giardiasis,Infectious/Tropical,Diseases related to Vitamin B deficiency
Glaucoma,Ophthalmology,Central Retinal Vein Occlusion
Glaucoma,Ophthalmology,Rubeosis irides with resultant secondary glaucoma
Glaucoma,Ophthalmology,Total blindness
Gonorrhea,Infectious/Tropical,Local complications (now uncommon): Littre abscess involving periurethral glands
Gonorrhea,Infectious/Tropical,Paraurethral abscesses
Gonorrhea,Infectious/Tropical,Proximal urethral involvement with frequency and terminal haematuria
Gonorrhea,Infectious/Tropical,"Cowper's gland abscess involving the bulbourethral glands, producing a swelling behind the base of the scrotum that can produce a proximal or Cowper's stricture"
Gonorrhea,Infectious/Tropical,Prostatitis
Gonorrhea,Infectious/Tropical,Proctitis
Gonorrhea,Infectious/Tropical,Urethral stricture leading to hydroureters and hydronephrosis
Gonorrhea,Infectious/Tropical,Chronic epididymo-orchitis leading to sterility
Gonorrhea,Infectious/Tropical,Contaminated fingers or other fomites can also lead to infection of the eyes - gonococcal conjunctivitis
Gonorrhea,Infectious/Tropical,"Haematogenous spread leading to meningitis, arthritis etc"
Granuloma Inguinale (Donovanosis Granuloma Venereum),Infectious/Tropical,Obstructed labour
Granuloma Inguinale (Donovanosis Granuloma Venereum),Infectious/Tropical,Squamous cell carcinoma
Guinea Worm Disease (Dracunculiasis),Infectious/Tropical,Secondary infection
Guinea Worm Disease (Dracunculiasis),Infectious/Tropical,Cellulitis
Guinea Worm Disease (Dracunculiasis),Infectious/Tropical,Erysipelas
Guinea Worm Disease (Dracunculiasis),Infectious/Tropical,Progressive lymphoedema
Guinea Worm Disease (Dracunculiasis),Infectious/Tropical,Osteomyelitis
Guinea Worm Disease (Dracunculiasis),Infectious/Tropical,Arthritis
Guinea Worm Disease (Dracunculiasis),Infectious/Tropical,Tetanus
Haemorrhoids,Gastrointestinal,Bleeding
Haemorrhoids,Gastrointestinal,Necrosis
Haemorrhoids,Gastrointestinal,Perineal sepsis
Haemorrhoids,Gastrointestinal,Mucus discharge
Heart Failure,Cardiovascular,"Thrombo-embolic phenomena: stroke, pulmonary embolism"
Heart Failure,Cardiovascular,Pre-renal azotaemia
Heart Failure,Cardiovascular,Arrhythmias
Hepatitis,Infectious/Tropical,Liver failure
Hepatitis,Infectious/Tropical,Bleeding tendencies.
Hepatitis,Infectious/Tropical,Cirrhosis/Liver cancer
Herpes Zoster,Infectious/Tropical,Pain may persist long after rash has healed (post-herpetic neuralgia)
Herpes Zoster,Infectious/Tropical,Dissemination of infection in the immunocompromised
Herpes Zoster,Infectious/Tropical,Hemorrhagic and necrotic lesions
Herpes Zoster,Infectious/Tropical,"Ramsay-Hunt syndrome (Herpes zoster of the ear resulting in severe ear pain, hearing loss and vertigo)"
Herpes Zoster,Infectious/Tropical,Visual impairment due to corneal ulcers (Zoster ophthalmicus-V1)
Human Immunodeficiency Virus (HIV) Infection,Infectious/Tropical,"Acute HIV, candidal vaginitis"
Human Immunodeficiency Virus (HIV) Infection,Infectious/Tropical,"PGL, Guillain-Barré syndrome, myopathy, aseptic meningitis"
Human Immunodeficiency Virus (HIV) Infection,Infectious/Tropical,"Pneumococcal/bacterial pneumonias, pulmonary TB, Herpes zoster"
Human Immunodeficiency Virus (HIV) Infection,Infectious/Tropical,"Cervical cancer, anaemia, lymphomas"
Human Immunodeficiency Virus (HIV) Infection,Infectious/Tropical,"Miliary/extra-pulmonary TB, PCP, disseminated histoplasmosis and coccidiomycosis, PML"
Human Immunodeficiency Virus (HIV) Infection,Infectious/Tropical,"Wasting, peripheral neuropathy, HIV-associated dementia, cardiomyopathy"
Human Immunodeficiency Virus (HIV) Infection,Infectious/Tropical,"Disseminated herpes simplex, toxoplasmosis, cryptococcosis"
Human Immunodeficiency Virus (HIV) Infection,Infectious/Tropical,"Disseminated cytomegalovirus, disseminated Mycobacterium avium complex"
Hyperemesis Gravidarum,Maternal/Reproductive,Biochemical abnormalities
Hyperemesis Gravidarum,Maternal/Reproductive,"Usually sequel to vomiting, starvation and dehydration"
Hyperemesis Gravidarum,Maternal/Reproductive,Ketosis
Hyperemesis Gravidarum,Maternal/Reproductive,Electrolyte imbalance (alkalosis and hypokalaemia)
Hyperemesis Gravidarum,Maternal/Reproductive,Vitamin deficiencies
Hyperemesis Gravidarum,Maternal/Reproductive,"In neglected or poorly managed cases: severe weight loss, Tachycardia, Hypotension, Oliguria"
Hyperemesis Gravidarum,Maternal/Reproductive,Neurologic disorders from vitamin B deficiency
Hyperemesis Gravidarum,Maternal/Reproductive,Retinal haemorrhages
Hyperemesis Gravidarum,Maternal/Reproductive,Jaundice (from hepatic necrosis)
Hyperemesis Gravidarum,Maternal/Reproductive,Oesophageal tears and spontaneous rupture of the oesophagus
Hyperemesis Gravidarum,Maternal/Reproductive,Mendelson's syndrome
Hyperemesis Gravidarum,Maternal/Reproductive,Foetal loss
Hyperemesis Gravidarum,Maternal/Reproductive,Maternal mortality
Hyperlipidaemia,Endocrine/Metabolic,Ischaemic heart disease
Hyperlipidaemia,Endocrine/Metabolic,Peripheral vascular disease
Hyperlipidaemia,Endocrine/Metabolic,Stroke
Hyperlipidaemia,Endocrine/Metabolic,Hypertension
Hypertension,Cardiovascular,Heart failure
Hypertension,Cardiovascular,Ischaemic heart disease
Hypertension,Cardiovascular,"Stroke (ischaemic, hemorrhagic)"
Hypertension,Cardiovascular,Hypertensive retinopathy
Hypertension,Cardiovascular,Renal failure
Hypertension,Cardiovascular,Peripheral artery disease
Hypothyroidism (Myxoedema),Endocrine/Metabolic,Myxoedema coma in adults and cretinism in the young
Impetigo Contagiosa,Infectious/Tropical,Regional lymphadenopathy
Impetigo Contagiosa,Infectious/Tropical,Cellulitis
Impetigo Contagiosa,Infectious/Tropical,Rarely: septicaemia
Impetigo Contagiosa,Infectious/Tropical,"Rarely: acute glomerulonephritis, if nephritogenic strain of streptococci is involved"
Infective Conjunctivitis,Ophthalmology,"Corneal affectation, which could lead to perforation"
Infective Conjunctivitis,Ophthalmology,Endophthalmitis
Infective Endocarditis,Infectious/Tropical,Cardiac failure
Infective Endocarditis,Infectious/Tropical,Destruction of heart valves
Infective Endocarditis,Infectious/Tropical,Systemic embolism (could be infective)
Insomnia,Neurological/Mental,Deteriorating physical and/or mental health
Insomnia,Neurological/Mental,Decline in overall wellbeing and quality of life
Intra-hepatic Cholestatic Jaundice of Pregnancy,Maternal/Reproductive,Maternal Haemorrhage
Intra-hepatic Cholestatic Jaundice of Pregnancy,Maternal/Reproductive,Preterm labour
Intra-hepatic Cholestatic Jaundice of Pregnancy,Maternal/Reproductive,Steatorrhea
Intra-hepatic Cholestatic Jaundice of Pregnancy,Maternal/Reproductive,Foetal distress
